"","Program","Site","Date.Time","Category","Genus","Species","Abundance","Cell.Per.Liter","Water.Source","Perc.Large","Perc.Small","Perc.Species","Comments"
"1","SoundToxins","Quartermaster Harbor - Dockton","02/18/2024 12:00","Dinoflagellate","Dinophysis","sp.","Present",9,"Net Tow",NA,NA,NA,""
"2","SoundToxins","Budd Inlet- Port Plaza","02/14/2024 09:45","Dinoflagellate","Dinophysis","acuta","",NA,"",NA,NA,12,""
"3","SoundToxins","Budd Inlet- Port Plaza","02/14/2024 09:45","Dinoflagellate","Dinophysis","fortii","",NA,"",NA,NA,25,""
"4","SoundToxins","Budd Inlet- Port Plaza","02/14/2024 09:45","Dinoflagellate","Dinophysis","acuminata","",NA,"",NA,NA,38,""
"5","SoundToxins","Budd Inlet- Port Plaza","02/14/2024 09:45","Dinoflagellate","Dinophysis","rotundata","",NA,"",NA,NA,25,""
"6","SoundToxins","Budd Inlet- Port Plaza","02/14/2024 09:45","Dinoflagellate","Dinophysis","spp.","Present",48,"Net Tow",NA,NA,NA,"Some D. rotundata!"
"7","SoundToxins","Liberty Bay","02/13/2024 09:30","Dinoflagellate","Dinophysis","spp.","Present",28,"Net Tow",NA,NA,NA,""
"8","SoundToxins","Liberty Bay","02/13/2024 09:30","Dinoflagellate","Dinophysis","acuminata","",NA,"",NA,NA,34,""
"9","SoundToxins","Liberty Bay","02/13/2024 09:30","Dinoflagellate","Dinophysis","acuta","",NA,"",NA,NA,66,""
"10","SoundToxins","Sequim Bay","02/12/2024 12:30","Dinoflagellate","Dinophysis","sp.","Absent",NA,"",NA,NA,NA,""
"11","SoundToxins","Mystery Bay","02/07/2024 11:15","Dinoflagellate","Dinophysis","sp.","Present",6.5,"Net Tow",NA,NA,NA,"species not identified"
"12","SoundToxins","Discovery Bay","02/07/2024 09:45","Dinoflagellate","Dinophysis","sp.","Absent",NA,"",NA,NA,NA,""
"13","SoundToxins","Quartermaster Harbor - Dockton","02/04/2024 10:45","Dinoflagellate","Dinophysis","spp.","Absent",NA,"",NA,NA,NA,""
